,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-6.69736E+18,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Number26 raises another $40 million for its vision for the future of banking
-6.6612E+18,Java 9 Early Access: A Hands-on Session with JShell - The Java REPL | Takipi Blog,Eclipse Foundation Releases Neon,The new 64-bit Orange Pi is a quad-core computer for $20,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Using Honcho to Create a Multi-Process Docker Container,The Skills You'll Need and the Salary You Can Expect as a Data Scientist
-6.65993E+18,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Introduction To Chatbots,Stop Trying to Sound Smart When You're Writing,Top 30 Commonly Confused Words in English,Learn Hiragana: The Ultimate Guide,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO
-6.65447E+18,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Optimizing the Performance of Vector Drawables - upday devs,UE não dá sossego ao Google. Novo alvo? O AdSense,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,Announcing updates to Google's Internet of Things platform: Android Things and Weave
-6.64494E+18,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Here's proof that Google is getting serious about battling Facebook in a key area,Machine Learning for Designers,Wide & Deep Learning: Better Together with TensorFlow,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year
-6.64478E+18,Principais startups do ramo de saúde criam o 1o Cluster de Saúde Digital do Brasil | EXAME.com,InsurTech: changing the world of risk - Chris Skinner's blog,"Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider",Itaú vende carteira de vida para Prudential | Sonho Seguro,Blockchain Huge Potential For The Insurance Industry,Making digital strategy a reality in insurance
-6.64341E+18,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Dafiti registra alto crescimento no 1º semestre de 2016,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,Não existe frete grátis!,johnpapa/angular-styleguide
-6.64275E+18,What to look for in a code review ,Release Day: Extend Drupal 8 with Plugins,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Acquia's Dev Desktop - a Drupal server for beginners,Deep Learning Demystified,Omnitone: Spatial audio on the web
-6.62527E+18,Meet the man behind the rise of bots and our AI-driven future,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,New blog from Dries: How should you decouple Drupal?,"E quando o cliente diz ""Não gostei""?",SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,Artificial Intelligence Can Now Design Realistic Video and Game Imagery
-6.62358E+18,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone","As Artificial Intelligence Evolves, So Does Its Criminal Potential",Amazon EBS Update - New Elastic Volumes Change Everything | AWS Blog,Sobre o Hipsters Ponto Tech,Building immutable entities into Google Cloud Datastore,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
-6.60397E+18,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,A Technical Primer On Causality,Mastering Software Development in R · Simply Statistics,Client-side ranking to more efficiently show people stories in feed,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Lessons from Becoming a Data-Driven Organization
-6.60335E+18,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,Hintjens.com,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,"Agile is Dead, Long Live Continuous Delivery - Gradle",Changing change management,Design Sprint: onde o design e a velocidade importam
-6.59878E+18,"ConstraintLayout, Inside and Out: Part 1","ConstraintLayout, Inside and Out: Part 2","Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Developing Android unit and instrumentation tests - Tutorial,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery
-6.5925E+18,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",10 Simple Habits of Insanely Productive People,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",You're Asking Too Much of Chat Bots. Just Let Them Grow Up,World's Fastest Growing Open Source Platform Pushes Out New Release,"Tenho várias ideias de negócios, qual devo levar adiante?"
-6.59082E+18,Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,WeakReference in Android - Google Developers Experts,"Fresco, sim! - Android Dev BR",Optimizing the Performance of Vector Drawables - upday devs,RecyclerView Prefetch - Google Developers
-6.59006E+18,Kotlin no Backend (Parte 2) :: Concrete Solutions,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL","Kotlin in Production - What works, Whats broken",How Kotlin became our primary language for Android - UPTech Team,Standing on the Shoulders of Giants - Built to Adapt,Spring Boot 1.4 released
-6.58441E+18,O que é liderança? Liderança é fazer a diversidade funcionar.,Feito por Elas #01 Agnieszka Holland | AntiCast,"Little girls doubt that women can be brilliant, study shows",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Campanha do Dicionário Houaiss pretende mudar a definição de família
-6.57909E+18,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",The 200 billion dollar chatbot disruption,Why image recognition is about to transform business,Nespresso,Bitcoin In The Time Of Negative Interest Rates,This startup uses machine learning and satellite imagery to predict crop yields
-6.56633E+18,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Enterprise developers look out: this week on Google Cloud Platform,The AI business landscape,Behold.ai launches artificially intelligent medical software to find abnormalities faster,8 things to expect from Google's biggest event of the year,"Terrapattern is reverse image search for maps, powered by a neural network"
-6.55871E+18,Google's fair use victory is good for open source,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,Hedron: Or my dissatisfaction with local development #Drupal,Here's how Evernote moved 3 petabytes of data to Google's cloud,Build Quality In: The Key to Continuous Delivery in Kanban,Labelling automated builds on Docker Hub - Microscaling Systems
-6.54587E+18,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,Uber's first self-driving cars will start picking up passengers this month,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Announcing updates to Google's Internet of Things platform: Android Things and Weave,A Technical Primer On Causality
-6.543E+18,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,8 Insanely Simple Productivity Hacks,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,A digital crack in banking's business model,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents"
-6.52605E+18,Bradesco oferece saques com tecnologia de aproximação - Meio & Mensagem,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,Digital Consumers Forced to Open Accounts in Branches,[Tools] 7 Ferramentas Gratuitas para Criar Diagramas de Processos com BPMN,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",The compelling case to replace a 40-year old core system - Chris Skinner's blog
-6.52387E+18,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Closure Compiler in JavaScript,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Elastic Stack 5.0.0 Released,Android - The dark side of Jack and Jill,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-6.51885E+18,Apple &amp; others may soon be barred from using SMS for two-factor authentication,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,My favorite people and resources to learn Android programming from,Android - The dark side of Jack and Jill,Adulterated Objective-C,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog
-6.5115E+18,Arduino clone is as small as an AA battery,OpenVpn rodando com Docker no Raspberry Pi,This Super Accurate Portrait Selection Tech Uses Neural Networks,Google lança YouTube Kids no Brasil | Google Discovery,"Inbox by Gmail: a better way to keep track of events, newsletters and links",Graph-powered Machine Learning at Google
-6.50469E+18,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine","Why Performance Matters, Part 2: Perception Management - Smashing Magazine",Building immutable entities into Google Cloud Datastore,"As Artificial Intelligence Evolves, So Does Its Criminal Potential","Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",To Use Physical Or To Use Virtual: That is the container deployment question
-6.48464E+18,"5 awesome Google Keep features you aren't using, but should be",Why the customer experience matters,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",How This Googler Redesigned The Workweek,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,The AI business landscape
-6.47906E+18,#188. Profissão: Gerente de Projetos by brains9,Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Código Aberto - Daniela Cachich, VP de Marketing, Heineken",20+ Docs and Guides for Front-end Developers (No. 9),Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine
-6.46771E+18,5 reasons your employees aren't sharing their knowledge,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Text summarization with TensorFlow,Building a high-throughput data science machine,Good Software Takes Ten Years. Get Used To it.,How to approach machine learning as a non-technical person
-6.46621E+18,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] XMind Plus - Last Chance for students' 1$ gift,Onde a tecnologia e o cuidado se encontram? - Saúde Business
-6.46364E+18,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Apple and Google Are Teaming Up to Kill Robocalls Forever,Honda: mulheres já respondem por 50% das vendas via consórcio,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Creating value in auto finance with vLendRight | Kevin Moseri,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio
